description,TotalSalesDollars,ProfitMargin
La Petite Maison Ventoux Bl,160.76999999999998,88.55507868383404
Lafite Rsv Speciale Bl Brdx,485.72000000000014,70.40270114469243
Leblon Cedilla Acai Liqueur,89.97,73.3355562965433
Lincourt Courtney's Chard,461.5800000000001,76.34212920837126
Livingston Cab Svgn Cal,157.85999999999999,70.86025592296971
Livingston Clrs Rhine Calif,350.4600000000001,87.64480967870799
Louis Jadot Chmble-Musgny 11,99.98,65.5131026205241
Mad Dogs & Englishmen Jumil,279.80000000000007,97.6661901358113
Mark West Pnt Nr Santa Lucia,409.7200000000001,94.18627355267012
Mayfair London Dry Gin,411.82000000000005,87.86362974114904
McCormick Cherry Vodka,188.73000000000002,65.07709426164362
Mercer Pnt Gris,89.92999999999999,75.64772600911822
Merry Irish Cream Liqueur,35.97,73.53350013900473
Mimosa by St Clair Winery,335.76,67.3338098641887
Mojoshot Blue Lagoon RTD,316.8000000000006,97.0044191919192
Mommy's Time Out Delicious R,65.94,67.33393994540492
Morande Edicion Limitada,284.81000000000006,79.35465749095889
Morgan Winery Garys Vyd Pnt,223.93,71.23654713526548
My Big Fat Greek Red Wine,287.76000000000005,67.72310258548792
Nanbu Bijin Southern Beauty,535.6800000000001,76.74731182795699
New Amsterdam Red Berry Vdka,63.96,81.20700437773608
Nicolis Recioto Valpo Clsc,219.78000000000003,69.6969696969697
Ninety+Cellars Lot 71 Malbec,494.67000000000013,87.95560676814847
Nozzole La Forra Chianti Gra,480.87000000000006,68.38230706843845
Nuvo Lemon Sorbet Liqueur,124.94999999999999,84.84993997599038
Nyers Vyds Sage Canyon Red,132.92999999999998,90.14518919732191
Oak Leaf Pnt Grigio Cal,71.76,67.55852842809364
Occhio A Vento Vermentino,67.83,80.68701164676396
Ole Smoky Strawberry Lightin,143.91,82.50295323466055
Olivier Chablis Savary,350.73,84.97989906765888
Pali Wine Co Pnt Nr Fiddlstx,419.93,70.84514085680946
Pascual Toso Cab Svgn Argn,293.7200000000001,95.07694402832631
Pazo de Galegos Albarino,230.89,93.89752696089046
Peregrine Pnt Nr,485.81999999999994,77.01617883166605
Philippe Herard Bl de Blanc,303.62000000000006,71.17449443383177
Pinnacle Cake Vodka,85.40999999999998,82.648401826484
Pinnacle Key Lime Whipped,389.7000000000001,71.42417244033872
Pinnacle Orange Whipped,104.39,79.79691541335376
Poggio Amorelli Chianti Clsc,455.76,67.11427066877303
Pro.mis.Q.ous White CA,191.89,73.4848090051592
Proemio Chard,325.62000000000006,78.07259996314723
Promesses de France CdRhone,71.91,92.33764427756917
R Stemmler Carneros Pnt Nr E,73.98,65.5177074885104
Ravines Cabernet Franc,409.7500000000001,75.95607077486272
Riunite Sweet White,161.73,97.4649106535584
Royal Thistle Scotch,203.88,73.74926427310183
Ruca Malen Yauquen Bonarda,231.70999999999998,69.31077640153639
S S Pierce Ninety Nine Bl W,67.41,73.7427681352915
Salmon & Trout Bordeaux Blnc,89.8,66.92650334075724
Samos High Peaks Muscat,160.86,65.53524804177546
Santa Rita Organic Svgn Bl,9.99,66.46646646646647
Sauza Sparkling Margarita,167.76000000000005,96.793037672866
Sauza Sprklg Wild Berry Marg,27.96,82.15307582260371
Sbragia Home Ranch Merlot,549.7500000000001,66.44474761255115
Scagliola Dolcesvago Moscato,104.78999999999999,68.22215860292012
Seghesio Arneis RRV,197.82000000000002,77.16105550500455
Sette Ponti Crognolo Toscan,139.93,71.61437861788038
Silo Whiskey,354.42,71.68613509395632
Silver Mtn Hard Cider,342.5100000000002,77.46635134740593
Skyy Infusions Georgia Peach,215.81999999999996,86.84088592345472
Smashberry Red,477.6,72.16499162479062
Smirnoff Lime Vodka,416.08000000000004,68.15996923668524
Smirnoff Wh Peach Sorbet,346.50000000000034,75.6883116883117
Spring 44 Gin,531.8100000000001,69.92911002049604
Spring 44 Honey Vodka,391.86000000000007,88.92461593426223
Staglin Salus Rthfd Chard,287.91,92.33788336632975
Steele 09 Bien Nacido Pnt Nr,342.86,90.66091115907368
Tanteo Tropical Tequila,199.95,69.92248062015504
The Club Mudslide,83.58000000000001,91.32567599904283
The Club Strawbry Margarita,143.28,98.97403685092128
The Messenger Telegram White,208.89,69.0746325817416
Three Olives Tomato Vodka,314.79,65.24667238476445
Three Olives Whipped Cream,483.5600000000001,89.34155016957564
Tiki Sound Svgn Bl,326.71000000000004,67.75121667533898
Tommasi Poggio Tufo Cab Svgn,269.72999999999996,74.78960441923405
Torna Sorrento Limoncello,265.81,87.85598735939205
Tracia Syrah,44.940000000000005,88.49577214063196
Triibe Celtic,318.83,68.42204309506633
Valdivieso Brut,220.83,78.60345061812254
Vampire Transylvania Merlot,227.15,96.24036979969183
Van Ruiten Family Cab Svgn,346.17,88.2658809255568
Vendange Sweet White,395.0100000000003,91.64578111946533
Vigna Magana Dignus,359.82000000000005,96.24534489466956
Vigne A Porrona Rosso,272.7900000000001,96.82539682539681
Vin Vault Pnt Nr,314.70000000000005,73.84175405147761
Viu Manent Cab Svgn La Capil,167.87999999999997,65.51107934238742
Wolf Blass Ylw Lb Shiraz/Cab,194.85000000000002,78.49627918911983
Woodford Rsv Master Coll Pnt,489.95,73.76058781508317
Zardetto Pros di Coneg Brut,345.86000000000007,88.75845717920546
Zerran Tinto Montsant,139.91,77.59273818883568
Zhenka Vodka 80 Proof,240.39,87.30396439119762
Zorah Red,417.81000000000006,67.55941695986215
