description,TotalSalesDollars
Jack Daniels No 7 Black,7964746.760000233
Tito's Handmade Vodka,7399657.580000114
Grey Goose Vodka,7209608.060000223
Capt Morgan Spiced Rum,6356320.620000303
Absolut 80 Proof,6244752.030000188
Jameson Irish Whiskey,5715759.689999705
Ketel One Vodka,5070083.560000398
Baileys Irish Cream,4150122.069999566
Kahlua,3604858.6599995466
Tanqueray,3456697.9000000777
